token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
album book	33	not_medium	llm_shaky	album book		albumen paper	0.658	object-type descriptor
photo-offset illustration	33	technique	llm_shaky	photo-offset		photogrammetry	0.609	photo-offset printing for illustration
intaglio	33	technique	embedding	intaglio		intaglio, blind	0.817	
color stipple	33	technique	variant	stipple	300053378	stipple	1.0	
vidalon paper	33	support	rule	vidalon paper				
resin-coated aluminum	33	material	rule	resin-coated aluminum				
etching-drypoint	33	technique	rule	etching-drypoint				
lacquer	33	material	rule	lacquer				
rice paper	33	support	rule	rice paper				
hand painted	33	material	rule	hand painted				
color woodcut vertical diptych	33	technique	rule	woodcut vertical diptych				
maize painting	33	material	rule	maize painting				
embroidered linen	33	material	rule	embroidered linen				
hand-colored	33	technique	variant	hand colouring		dyed	0.68	
mulberry paper	32	material	aat	mulberry paper	300183846			
acrylic paint	32	material	aat	acrylic paint	300015058			
beadwork	32	technique	embedding	beadwork		beadweaving	0.821	
xerox toner	32	material	embedding	xerox toner		toner	0.774	
gilt	32	technique	variant	gilt	300053789	gilt	1.0	
polychromy	32	technique	variant	polychromy	300247962	polychromy	1.0	
holland zonen wove paper	32	support	rule	holland zonen wove paper				
knitting	32	material	rule	knitting				
lift ground aquatint	32	technique	rule	lift ground aquatint				
the watermark	32	not_medium	rule	the watermark				
unbound book	31	not_medium	llm_shaky	unbound book		books, binding of	0.634	physical-state/binding descriptor
tapa cloth	31	material	variant	tapa cloth	300072237	tapa cloth	1.0	
sugarlift	31	technique	embedding	sugarlift		sugar-lift	0.812	
weft-resist dyeing	31	technique	embedding	weft-resist dyeing		resist-dyeing	0.804	
poster	31	material	embedding	poster		poster board	0.786	
illustration board	31	material	aat	illustration board	300014229			
white opaque watercolor	31	material	rule	white opaque watercolor				
ancient japan paper	31	support	rule	ancient japan paper				
japan nacré paper	31	support	rule	japan nacré paper				
color sugar lift aquatint	31	technique	rule	sugar lift aquatint				
transparent watercolor	31	material	rule	transparent watercolor				
intaglio print	31	technique	rule	intaglio				
dark mica ground	30	material	llm_shaky	mica		white mica	0.671	mica used as ground/ground layer material
grey	30	colour	llm_shaky	grey		blue black	0.687	bare colour word
goat hair	30	material	variant	goat hair	300011818	goat hair	1.0	
applied accessory objects	30	material	embedding	applied accessory object		accessory elements	0.736	
the front cover	30	not_medium	rule	the front		back-lined	0.528	
ornamental borders	30	not_medium	llm_shaky	ornamental border		decoration, edge	0.648	layout/decorative descriptor
pearl	30	material	embedding	pearl		white, pearl	0.787	
cord	30	material	embedding	cord		cording	0.853	
chapter ornaments	30	not_medium	rule	chapter ornament		book-edge decoration	0.493	
celluloid	30	material	embedding	celluloid		celluloid (cellulosic)	0.937	
color sugar-lift aquatint	30	technique	aat	sugar-lift aquatint	300190346			
silk tulle	30	material	rule	silk tulle				
laid paper mounted to heavier sheet	30	support	rule	laid paper mounted to heavier sheet				
20 full page illustrations	30		unresolved	full page illustration				
pochoir hand colored by the artist	30	technique	rule	pochoir hand colored by the artist				
color letterpress	30	technique	rule	letterpres				
color photogravure	30	technique	rule	photogravure				
montval laid paper	30	support	rule	montval laid paper				
steel wool burnishing	30	material	rule	steel wool burnishing				
ebony	30	material	rule	ebony				
collograph prints	30	technique	rule	collograph				
white bfk rives paper	30	support	rule	white bfk rives paper				
the spine	30	not_medium	rule	the spine				
ingres cover paper	30	support	rule	ingres cover paper				
appliqué	30	technique	variant	appliqué		textli	0.476	
pith paper	29	material	aat	pith paper	300014129			
horsehair	29	material	variant	horsehair	300011819	horsehair	1.0	
text page	29	not_medium	llm_shaky	text page		text prompt	0.587	layout/bibliographic descriptor
ring	29	technique	embedding	ring		ring-building	0.776	
complex compound weave	29	material	embedding	complex compound weave		compound weave	0.892	
pearls	29	material	embedding	pearl		freshwater pearls	0.746	
baxter process color plate	29	technique	llm_shaky	baxter proces		dye imbibition process	0.56	George Baxter's oil-colour relief printing process
cliché verre	29	technique	llm_shaky	cliché-verre		dalles de verre	0.588	photographic/printmaking technique; variant spelling
batiste	29	material	variant	batiste	300183634	batiste	1.0	
canvas mounted	29	support	rule	canvas mounted				
white chalks	29	material	rule	white chalk				
stencil	29	technique	rule	stencil				
silkscreen	29	material	rule	silkscreen				
color ink drawing	29	technique	rule	ink drawing				
wool or camelid fiber	29	material	rule	wool or camelid fiber				
color spitbite aquatint	29	technique	rule	spitbite aquatint				
sterling silver gilt	29	material	rule	sterling silver gilt				
tin glazed earthenware	29	material	rule	tin glazed earthenware				
albumen print	29	technique	rule	albumen				
black paper	29	support	rule	black paper				
metallic pigment	29	material	variant	metallic pigment		pigment	0.797	
brussels applique lace	28	material	embedding	brussels applique lace		lace, brussels (needle lace)	0.844	
resin	28	material	embedding	resin		resin, vinyl	0.885	
autochrome	28	material	embedding	autochrome		euchrome	0.733	
surface oxides	28	material	embedding	surface oxide		oxides	0.802	
damask	28	material	variant	damask	300163295	damask	1.0	
pigmented stoneware	28	material	rule	pigmented stoneware				
stoneware	28	material	rule	stoneware				
white paper	28	support	rule	white paper				
engraving-etching	28	technique	rule	engraving-etching				
chine colle linen	28	material	rule	chine colle linen				
silk plain weave	28	material	rule	silk plain weave				
thin japanese paper	28	support	rule	thin japanese paper				
oil pastel	28	material	rule	oil pastel				
gelatin silver print mounted to card stock	28	technique	rule	gelatin silver print mounted to card stock				
color photo offset lithograph poster	28	technique	rule	photo offset lithograph				
color line block	28	technique	rule	line block				
rives bfk tan paper	28	support	rule	rives bfk tan paper				
gold lettering	28	material	rule	gold lettering				
limestone	27	material	aat	limestone	300011286			
paperboard	27	material	aat	paperboard	300411320			
cut velvet	27	material	aat	cut velvet	300227822			
the front	27	not_medium	rule	the front		back-lined	0.528	
coral	27	material	embedding	coral		stone, coral	0.85	
photo-collages	27	technique	llm_shaky	photo-collage		photographic papers	0.666	collage technique using photographic elements
a pen	27	not_medium	rule	a pen				
graphite under pen	27	material	rule	graphite under pen				
embroidered silk	27	material	rule	embroidered silk				
xerox transfer aquatint	27	technique	rule	xerox transfer aquatint				
wood sticks	27	material	rule	wood stick				
drypoint chine collé	27	technique	rule	drypoint chine collé				
soft ground etchings	27	technique	rule	soft ground etching				
letterpress text	27	technique	rule	letterpress text				
soap ground etching	27	technique	rule	soap ground etching				
oblique interlacing	26	technique	llm_shaky	oblique interlacing		oblique projection (technique)	0.67	textile/basketry weaving technique
book page	26	not_medium	llm_shaky	book page		book paper	0.693	bibliographic/layout descriptor
artificial flowers	26	material	embedding	artificial flower		flowers (plant materials)	0.771	
lift-ground aquatint	26	technique	aat	lift-ground aquatint	300053243			
sponged transparent	26	technique	embedding	sponged transparent		sponged	0.78	
nails	26	technique	embedding	nail		nailing	0.802	
needle lace	26	material	embedding	needle lace		lace (needlework)	0.938	
collage in folder	26		unresolved	collage in folder		collage (technique)	0.532	
plant fiber	26	material	embedding	plant fiber		wood fiber	0.761	
woven rattan	26	material	embedding	woven rattan		rattan	0.755	
matching slipcase	26	not_medium	llm_shaky	matching slipcase		slip decoration	0.563	object-type/physical-state descriptor
artist book	26	not_medium	llm_shaky	artist book		artists' materials	0.644	object-type descriptor
quotation from the text	26	not_medium	rule	quotation from the text		inscribed	0.376	
opaque	26	material	embedding	opaque		glass, opaque	0.819	
hand colored engraving	26	technique	rule	engraving				
laid paper mounted to a heavier sheet	26	support	rule	laid paper mounted to a heavier sheet				
line engraving after etching	26	technique	rule	line engraving after etching				
gilded wood	26	material	rule	gilded wood				
laid isle de france paper	26	support	rule	laid isle de france paper				
two lithographs	26	technique	rule	lithograph				
color soap ground aquatint	26	technique	rule	soap ground aquatint				
white etching	26	technique	rule	white etching				
metal embroidery	26	technique	rule	metal embroidery				
pure chiffe de france paper	26	support	rule	pure chiffe de france paper				
soft ground	25	material	embedding	soft ground		hard ground	0.842	
flat bite	25	technique	embedding	flat bite		deep bite	0.716	
point d'alencon lace	25	material	embedding	point d'alencon lace		valenciennes lace	0.709	
white batiste	25	material	embedding	white batiste		batiste	0.818	
self fringe	25	material	embedding	self fringe		fringe	0.839	
slit tapestry	25	technique	variant	slit tapestry	300228522	slit tapestry	1.0	
spit bite	25	technique	variant	spit bite	300179725	spit bite	1.0	
silk charmeuse	25	material	rule	silk charmeuse				
oil paint	25	material	rule	oil paint				
print	25	technique	rule	print				
rives bfk paper in ash wood frame	25	material	rule	rives bfk paper in ash wood frame				
two color woodcuts	25	technique	rule	color woodcut				
woodblock prints	25	technique	rule	woodblock				
aquatint printed in cadmium yellow-red	25	technique	rule	aquatint printed in cadmium yellow-red				
color linoleum cut	25	technique	rule	linoleum cut				
wood engraving printed in red	25	technique	rule	wood engraving printed in red				
mulberry bark paper	25	support	rule	mulberry bark paper				
gilded ivory sticks	25	material	rule	gilded ivory stick				
glazed stoneware	25	material	rule	glazed stoneware				
etching- engraving	25	technique	rule	etching- engraving				
sugar lift aquatints	25	technique	rule	sugar lift aquatint				
bütten paper	25	support	rule	bütten paper				
black aquatint	25	technique	rule	black aquatint				
auvergne pur chiffon a la main paper	25	support	rule	auvergne pur chiffon a la main paper				
screen printed complex weave	25	technique	rule	screen printed complex weave				
shells	25	material	rule	shell				
stenciled	25	technique	rule	stenciled				
wool knit	25	material	rule	wool knit				
alabaster	25	material	rule	alabaster				
smooth	24	not_medium	llm_shaky	smooth		blended	0.556	physical-state/surface condition descriptor
jet beads	24	material	llm_shaky	jet		bead weaving	0.552	jet (lignite-based material) formed into beads
satin weave	24	material	aat	satin weave	300132902			
voided velvet	24	material	aat	voided velvet	300227927			
agate	24	material	embedding	agate		ag	0.837	
hand coloring mounted to page	24	technique	rule	hand coloring mounted to page				
wood engraving after a drawing	24	technique	rule	wood engraving after a drawing				
reproductive print	24	technique	rule	reproductive				
photogravure print from copper plate	24	technique	rule	photogravure print from copper plate				
metal relief engraving	24	technique	rule	metal relief engraving				
thin mulberry paper	24	support	rule	thin mulberry paper				
soft paste porcelain	24	material	rule	soft paste porcelain				
